SlotNo   Position_x   Position_y   Position_z    X_x    X_y    X_z    Y_x    Y_y    Y_z    Z_x    Z_y    Z_z
    58  39.68003979 -45.05542283  77.43065363   0.96538978   0.17433483  -0.19398440  -0.17159538  -0.13554197  -0.97579885  -0.19640875   0.97531306  -0.10093578
    59 -109.32839203   6.90923471  18.05280905  -0.12125531   0.03161429  -0.99211778  -0.97963351   0.15733830   0.12475113   0.16004204   0.98703856   0.01189231
    60 -40.24820770 -31.35589588 -84.15408045  -0.90016954  -0.34356030   0.26769594   0.23449966   0.13562271   0.96260916  -0.36701994   0.92928605  -0.04151865
    61 -93.59145282  44.59129231 -19.99866090  -0.18435370   0.11117135   0.97655243   0.83900868  -0.49971847   0.21528093   0.51193435   0.85902380  -0.00114878
    62 -74.50601432 -10.43401938 -73.24424623  -0.85969745  -0.02591752   0.51014564   0.50970946   0.02171270   0.86007257  -0.03336759   0.99942825  -0.00545595
    63   8.80413678  84.51461266  18.38369994   0.02168476   0.22526631  -0.97405588  -0.03939881  -0.97333556  -0.22597706  -0.99898824   0.04327690  -0.01223133
    64  86.06452947  19.29097853 -49.85668933   0.64295787   0.25850054   0.72095953   0.66789283   0.27148804  -0.69297432  -0.37486613   0.92707700   0.00190471
    65 -57.12312023  26.08511050  74.39835988  -0.58804284   0.64274807  -0.49099952  -0.40707142   0.28938351   0.86634291   0.69892740   0.70931862   0.09147447
    66 -60.63234812  71.09277633 -19.97908057  -0.10450259   0.23206096   0.96707131   0.40851531  -0.87655736   0.25448464   0.90674943   0.42165774  -0.00319794
    67 -34.73929735   2.97564661 -86.95497377   0.66808348  -0.73637256  -0.10686402  -0.15761286   0.00031281  -0.98750093   0.72720202   0.67657620  -0.11585280
    68 -21.87539675  40.97818288 -77.03871788   0.11224447  -0.83961965  -0.53145087  -0.08548980   0.52468809  -0.84699109   0.98999630   0.14050370  -0.01288558
    69 -40.84218362 -78.06184110  67.52460994  -0.22736694  -0.89827705  -0.37603539  -0.32383428  -0.29442620   0.89913546  -0.91838742   0.32620683  -0.22395012
    70 -74.94656185 -10.71392495  70.44764841  -0.85969745  -0.02591752  -0.51014564  -0.50705815  -0.07739106   0.85843034  -0.06172909   0.99666388   0.05339121
    71 -99.22948619 -23.53215873 -50.76689508   0.58539304   0.03281654  -0.81008522  -0.80760613  -0.06424514  -0.58621233  -0.07128150   0.99739441  -0.01110582
    72 -101.19297078 -73.54474151  18.05455964   0.10860637   0.07876632   0.99095940   0.75235032   0.64504660  -0.13373060  -0.64974846   0.76007261   0.01079630
    73  10.89630133 -60.97495658 -101.51148509   0.65919459  -0.75197240   0.00000000  -0.00000008  -0.00000000  -1.00000000   0.75197240   0.65919459  -0.00000006
    74 -65.85557338 -47.08376633 -71.71630821   0.75117605   0.40939060  -0.51781645  -0.43771728  -0.27824838  -0.85497451  -0.49410012   0.86889359  -0.02981618
    75  -5.74367788 -16.62962679  85.09242126  -0.07284235  -0.99667098  -0.03661884   0.09893537  -0.04375507   0.99413142  -0.99242420   0.06879198   0.10179324
